date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-06-07 14:30:00,4.26,4.26,4.26,4.24,8271.02,0.0,0.0,4.254,4.259,4.2675,6729.73,7689.08,10196.8,0.05
2016-06-07 14:00:00,4.26,4.27,4.26,4.25,6926.2,0.0,0.0,4.252,4.261,4.2675,6700.41,7672.98,10359.6,0.05
2016-06-07 13:30:00,4.25,4.26,4.26,4.24,3123.0,0.01,0.24,4.25,4.262,4.2685,7409.99,7763.06,10776.5,0.02
2016-06-07 11:30:00,4.24,4.25,4.25,4.23,5548.03,0.01,0.24,4.252,4.264,4.268,8618.46,8746.36,11018.3,0.04
2016-06-07 11:00:00,4.24,4.25,4.24,4.24,9780.41,0.0,0.0,4.256,4.269,4.2685,9269.12,9895.38,11601.8,0.06
2016-06-07 10:30:00,4.26,4.26,4.25,4.24,8124.41,-0.01,-0.23,4.264,4.274,4.269,8648.44,10814.3,11782.0,0.05
2016-06-07 10:00:00,4.26,4.28,4.25,4.25,10474.1,-0.01,-0.23,4.27,4.278,4.269,8645.55,11501.7,11847.7,0.07
2016-06-06 15:00:00,4.27,4.28,4.27,4.26,9165.35,0.0,0.0,4.274,4.282,4.269,8116.14,12763.1,11989.6,0.06
2016-06-06 14:00:00,4.28,4.29,4.27,4.26,8801.35,-0.01,-0.23,4.276,4.28,4.2695,8874.27,12635.6,11966.9,0.06
2016-06-06 13:30:00,4.28,4.29,4.28,4.27,6676.97,0.0,0.0,4.282,4.278,4.2695,10521.6,12282.6,12184.7,0.04
2016-06-06 11:30:00,4.27,4.29,4.28,4.26,8110.0,0.01,0.23,4.284,4.276,4.269,12980.2,12704.6,12533.4,0.05
2016-06-06 11:00:00,4.28,4.29,4.27,4.26,7827.03,-0.01,-0.23,4.286,4.274,4.2685,14357.9,13046.3,12675.9,0.05
2016-06-06 10:00:00,4.3,4.33,4.28,4.27,12956.0,-0.02,-0.47,4.29,4.275,4.268,17410.1,13789.9,12677.9,0.09
2016-06-03 15:00:00,4.3,4.3,4.3,4.28,17038.2,0.0,0.0,4.284,4.272,4.2675,16396.9,13290.2,12569.7,0.11
2016-06-03 14:30:00,4.3,4.31,4.29,4.29,18969.6,-0.01,-0.23,4.274,4.268,4.267,14043.5,13308.2,12184.3,0.13
2016-06-03 14:00:00,4.29,4.31,4.29,4.28,14998.9,0.0,0.0,4.268,4.264,4.2665,12429.0,12749.6,11600.9,0.1
2016-06-03 13:30:00,4.25,4.3,4.29,4.25,23087.6,0.04,0.94,4.262,4.26,4.266,11734.6,12193.6,11575.9,0.15
2016-06-03 11:30:00,4.25,4.27,4.25,4.25,7890.0,0.0,0.0,4.26,4.256,4.266,10169.7,11216.2,11713.1,0.05
2016-06-03 11:00:00,4.26,4.27,4.25,4.25,5271.24,-0.01,-0.23,4.26,4.259,4.2665,10183.4,11298.2,12652.0,0.03
2016-06-03 10:30:00,4.26,4.27,4.26,4.24,10897.0,0.0,0.0,4.262,4.261,4.2665,12572.8,12086.8,13231.3,0.07
2016-06-03 10:00:00,4.29,4.29,4.26,4.26,11527.2,-0.03,-0.7,4.26,4.262,4.2655,13070.3,12362.3,13209.9,0.08
2016-06-02 15:00:00,4.26,4.29,4.28,4.25,15263.1,0.02,0.47,4.258,4.263,4.2645,12652.7,12305.5,13309.5,0.1
2016-06-02 14:30:00,4.27,4.27,4.25,4.25,7958.63,-0.02,-0.47,4.252,4.261,4.2625,12262.6,11565.9,13168.8,0.05
2016-06-02 14:00:00,4.26,4.27,4.26,4.24,17218.3,0.0,0.0,4.258,4.263,4.2605,12412.9,11849.3,13534.9,0.11
2016-06-02 13:30:00,4.24,4.26,4.25,4.24,13384.3,0.01,0.24,4.26,4.266,4.258,11600.7,11060.4,13548.8,0.09
2016-06-02 11:30:00,4.25,4.27,4.25,4.24,9439.0,0.0,0.0,4.264,4.269,4.256,11654.2,10452.2,13935.4,0.06
2016-06-02 11:00:00,4.28,4.28,4.25,4.25,13313.0,-0.03,-0.7,4.268,4.272,4.2505,11958.4,10958.1,14038.6,0.09
2016-06-02 10:30:00,4.27,4.28,4.28,4.27,8710.03,0.01,0.23,4.27,4.276,4.2455,10869.2,12209.9,13587.2,0.06
2016-06-02 10:00:00,4.27,4.28,4.27,4.26,13157.0,0.0,0.0,4.268,4.274,4.239,11285.7,14005.7,13363.5,0.09
2016-06-01 15:00:00,4.28,4.29,4.27,4.26,13652.2,-0.01,-0.23,4.272,4.272,4.2335,10520.1,14375.8,12798.1,0.09
2016-06-01 14:30:00,4.27,4.29,4.27,4.26,10959.6,0.0,0.0,4.274,4.269,4.2285,9250.13,14057.6,12323.5,0.07
2016-06-01 14:00:00,4.27,4.27,4.26,4.26,7867.0,-0.01,-0.23,4.276,4.266,4.2235,9957.91,14313.6,11994.0,0.05
2016-06-01 13:30:00,4.29,4.29,4.27,4.26,10792.8,-0.02,-0.47,4.282,4.264,4.218,13550.7,14771.7,12390.8,0.07
2016-06-01 11:30:00,4.28,4.3,4.29,4.28,9329.0,0.01,0.23,4.28,4.258,4.213,16725.8,15220.4,12369.8,0.06
2016-06-01 11:00:00,4.29,4.29,4.28,4.27,7302.26,-0.01,-0.23,4.272,4.25,4.2075,18231.6,16037.3,12240.4,0.05
2016-06-01 10:30:00,4.28,4.29,4.28,4.27,14498.5,0.0,0.0,4.264,4.243,4.2025,18865.0,17418.6,12246.6,0.1
2016-06-01 10:00:00,4.28,4.3,4.29,4.25,25831.0,0.01,0.23,4.256,4.229,4.1975,18669.2,17119.1,12386.7,0.17
